id,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE/SF,LATITUDE,LONGITUDE
976,Single Family Residential,13-10 154th St,Whitestone,NY,11357,1265000,4,2,Whitestone,40100,4000,1960,167,32,40.78985,-73.807868
977,Condo/Co-op,143-41 84th Dr,Briarwood,NY,11435,389000,1,1,Model,,13848,2007,40,,40.711857,-73.813012
978,Condo/Co-op,757 E 169 St Unit 3C,Bronx,NY,10456,60000,1,1,Bronx,26347,,1926,91,2,40.8310613,-73.8998364
979,Multi-Family (5+ Unit),2134 Barnes Ave,Bronx,NY,10462,7750000,31,21,Bronx,22774,5000,2017,198,340,40.8545572,-73.8637366
980,Condo/Co-op,172 Stuyvesant Ave,Brooklyn,NY,11221,699000,2,1,Condo,,5000,1993,261,,40.6894825,-73.933617
981,Multi-Family (5+ Unit),825 57 St,Brooklyn,NY,11220,8000000,,,Brooklyn,21400,4007,2003,202,374,40.6369304,-74.0069452
982,Single Family Residential,514 E 16th St,Brooklyn,NY,11226,1499000,,,Ditmas Park,,,,16,,40.6369042,-73.962869
983,Multi-Family (2-4 Unit),39-32 54th St,Woodside,NY,11377,1350000,4,3.5,Woodside,,2500,2001,71,,40.747919,-73.909538
984,Condo/Co-op,140-24 31st Dr,Flushing,NY,11354,458000,1,1,Park Avalon Condo,,,2008,165,,40.769508,-73.827689
985,Condo/Co-op,110 Cambridge,Clinton Hill,NY,11238,250000,1,1,110 Cambridge Place,,,1952,57,,40.683784,-73.96319
986,Vacant Land,790 Allerton Ave,Bronx,NY,10467,9900000,,,Bronx,18000,10515,1935,426,550,40.865213,-73.863828
987,Vacant Land,250 E 234th St,Bronx,NY,10470,3500000,,,Bronx,18000,17998,,270,194,40.896765,-73.8684643
988,Condo/Co-op,36-21 193rd St,Flushing,NY,11358,648000,2,2,Auburndale Mews,,10000,1985,121,,40.7631318,-73.788923
989,Multi-Family (5+ Unit),630 Midland Ave,Staten Island,NY,10306,1690000,44,36,Midland Beach,17200,15350,1931,49,98,40.5709379,-74.0913043
990,Single Family Residential,484 67th St,Brooklyn,NY,11220,8000000,,,Bay Ridge,,,,34,,40.635547,-74.020528
991,Single Family Residential,76 Romer Rd,Staten Island,NY,10304,6995000,6,12,Todt Hill,16115,37585,2012,127,434,40.5918914,-74.1041293
992,Multi-Family (2-4 Unit),1096 Ocean Ave,Brooklyn,NY,11230,4250000,4,16.75,Brooklyn,16000,5575,1931,195,266,40.635724,-73.9586445
993,Single Family Residential,258 Rockaway Ave,Brooklyn,NY,11233,2000000,3,1,Crown Heights,,,,144,,40.6743891,-73.9115373
994,Multi-Family (5+ Unit),1757-1759 Bay Ridge Pkwy,Brooklyn,NY,11204,7200000,,,Brooklyn,14900,8000,2019,134,483,40.6141383,-73.996719
995,Single Family Residential,679 -685 Mac Donough St,Brooklyn,NY,11233,3000000,,,Bedford Stuyvesant,,,,16,,40.684081,-73.918915
996,Single Family Residential,6917 Avenue W,Brooklyn,NY,11234,2399000,0,,Bergen Beach,14000,16000,1990,96,171,40.6160668,-73.9050367
997,Multi-Family (2-4 Unit),256-258 Wycoff St,Brooklyn,NY,11217,7999999,16,15,Brooklyn,13640,2500,,169,587,40.6834185,-73.9847107
998,Single Family Residential,115 South St,New York,NY,10038,13250000,,,Lower Manhattan,,,,16,,40.7072748,-74.0017575
999,Vacant Land,1148 Decatur St,Brooklyn,NY,11207,539000,,,Brooklyn,,1667,,61,,40.687708,-73.908231
1000,Multi-Family (2-4 Unit),316 E -318 77th St,New York,NY,10075,14000000,,,Upper East Side,,,,518,,40.7735934,-73.9591119
1001,Condo/Co-op,35-28 80 St,Jackson Heights,NY,11372,340000,1,1,The Greystones,,,1918,175,,40.750706,-73.886657
1002,Condo/Co-op,Unit at 509 W 38th St,New York,NY,10018,,0,1,Middle West Side,,,,16,,40.7576393,-73.9979241
1003,Single Family Residential,738 Todt Hill Rd,Staten Island,NY,10304,3699900,6,8,Todt Hill,12200,43200,1930,12,303,40.5936339,-74.1110118
1004,Single Family Residential,140 Metropolitan Ave,Brooklyn,NY,11211,5995000,,,Williamsburg,,,,16,,40.7159736,-73.9623639
1005,Multi-Family (2-4 Unit),19 Hubbard Pl,Brooklyn,NY,11210,3399000,16,16,Brooklyn,11692,3700,1920,30,291,40.6247746,-73.9382094
1006,Multi-Family (5+ Unit),45-11 43 Ave,Sunnyside,NY,11104,4500000,16,16,Sunnyside Gardens,,4000,1926,16,,40.7451807,-73.9187782
1007,Condo/Co-op,1020 66th St Unit A2,Brooklyn,NY,11219,620000,2,1,Dyker Heights,11481,1262,1990,61,54,40.6288202,-74.0083724
1008,Multi-Family (5+ Unit),2-6 Decker Ave,Staten Island,NY,10302,2280000,12,8,Port Richmond,11400,3750,1931,55,200,40.632029,-74.133146
1009,Condo/Co-op,Unit at 509 W 38th St,New York,NY,10018,,0,1,Middle West Side,,,,34,,40.7576393,-73.9979241
1010,Single Family Residential,4660 Livingston Ave,Bronx,NY,10471,6300000,9,8,Bronx,11297,35806,1920,306,558,40.8946333,-73.9025693
1011,Multi-Family (5+ Unit),1760 Gleason Ave,Bronx,NY,10472,3999999,19,12,Bronx,10818,5301,2018,64,370,40.8294845,-73.8675543
1012,Multi-Family (5+ Unit),30-38 Montgomery Ave,Staten Island,NY,10301,4150000,17,9,St. George,10713,8585,2011,62,387,40.640973,-74.078851
1013,Single Family Residential,30 -38 Montgomery Ave,Staten Island,NY,10301,4150000,,,Staten Island,,,,16,,40.6410975,-74.0787882
1014,Multi-Family (5+ Unit),104-07 Otis Ave,Corona,NY,11368,4180000,16,13,Corona,10607,4000,2008,21,394,40.738229,-73.855726
1015,Single Family Residential,67 Nicolosi Loop,Staten Island,NY,10312,3300000,4,7,S.E. Annadale,10400,15431,2006,198,317,40.5223681,-74.1763366
1016,Single Family Residential,6-02 158th St,Beechhurst,NY,11357,7988000,7,7,Beechhurst,10000,21930,2009,144,799,40.7961262,-73.8033535
1017,Single Family Residential,4730 Fieldston Rd,Bronx,NY,10471,6200000,,,Fieldston,,,,203,,40.8961175,-73.9023166
1018,Condo/Co-op,Unit at 305 E 72nd St,New York,NY,10021,399000,0,1,Upper East Side,,,,223,,40.7688312,-73.9579232
1019,Multi-Family (5+ Unit),3803-3807 13 Ave,Brooklyn,NY,11218,5699000,12,6,Brooklyn,9956,4560,1931,77,572,40.640917,-73.985617
1020,Single Family Residential,303 Grand St,New York,NY,10002,6500000,,,Little Italy,,,,131,,40.7173012,-73.991841
1021,Multi-Family (2-4 Unit),2845 W 19 St,Brooklyn,NY,11224,2499000,15,11,Brooklyn,9816,4700,1930,155,255,40.577642,-73.985727
1022,Multi-Family (5+ Unit),1743-1745 Fillmore St,Bronx,NY,10460,2495000,23,12,Bronx,9660,2374,1927,191,258,40.8437837,-73.868542
1023,Multi-Family (2-4 Unit),252 -254 Van Brunt St,,NY,11231,6000000,,,RED HOOK,,,,16,,40.680664,-74.0093739
1024,Multi-Family (2-4 Unit),2745 E 23 St,Brooklyn,NY,11235,1099000,5,3.5,Brooklyn,,2142,2001,142,,40.5856739,-73.9450973
1025,Multi-Family (2-4 Unit),2341-2343 Coney Island Ave,Brooklyn,NY,11223,4590000,16,9,Brooklyn,9600,4000,2019,54,478,40.5998956,-73.9611035
1026,Multi-Family (5+ Unit),56-01 6 Ave,Sunset Park,NY,11220,4178800,14,15,Sunset Park,9000,2517,1920,27,464,40.640184,-74.0115467
1027,Single Family Residential,323 W 88th St,New York,NY,10024,13999000,5,7.5,Upper West Side,,,,240,,40.7907831,-73.9777573
1028,Single Family Residential,70 Lyman Pl,Staten Island,NY,10304,3500000,4,6,Emerson Hill,8872,20000,2003,289,394,40.605276,-74.096709
1029,Single Family Residential,73 Washington Pl,New York,NY,10011,10995000,6,8.5,Greenwich Village,,,,497,,40.7320214,-73.9995891
1030,Single Family Residential,444 Flagg Pl,Staten Island,NY,10304,2399000,6,7,Todt Hill,8500,17441,2007,99,282,40.5825729,-74.1122047
1031,Unknown,787 Rockaway Ave,Brooklyn,NY,11212,120000,,,Brooklyn,8400,8400,1930,106,14,40.6604696,-73.9080798
1032,Multi-Family (2-4 Unit),187 18 St,Brooklyn,NY,11215,4099000,,10,Brooklyn,8384,2500,2007,226,489,40.6642083,-73.9932303
1033,Single Family Residential,42 W 70th St,New York,NY,10023,12995000,8,9,Upper West Side,,,,203,,40.7754597,-73.97871
1034,Single Family Residential,,Bayside,NY,11364,2399000,7,8,Bayside,8250,10000,2010,96,291,40.7448193,-73.7639787
1035,Single Family Residential,65 Jenna Ln,Staten Island,NY,10304,2550000,6,6,Dongan Hills Colony,8250,14467,1994,36,309,40.5920591,-74.1031199
1036,Multi-Family (2-4 Unit),,Brooklyn,NY,11221,3400000,16,8,Brooklyn,,2600,1906,364,,40.69415,-73.9097
1037,Multi-Family (2-4 Unit),730 St Nicholas Ave,New York,NY,10031,5250000,,,Hamilton Heights,,,,34,,40.824908,-73.943707
1038,Single Family Residential,324 W 80th St,New York,NY,10024,12900000,,,Upper West Side,,,,427,,40.785275,-73.981718
1039,Single Family Residential,184-27 Tudor Rd,Jamaica Estates,NY,11432,3998000,5,4.5,Jamaica Estates,,12874,2007,63,,40.72552,-73.784372
1040,Townhouse,167 Bedell Ave,Staten Island,NY,10307,1699000,5,6,Tottenville,8000,25584,1997,14,212,40.5099758,-74.2337751
1041,Single Family Residential,327 W 76th St,New York,NY,10023,13900000,7,6,Upper West Side,,,,518,,40.78308,-73.983623
1042,Single Family Residential,108 Eighth Ave,Brooklyn,NY,11215,8810800,5,5.5,Park Slope,,,,45,,40.6726319,-73.9738775
1043,Single Family Residential,29 -17 38th Ave,Queens,NY,11101,10300000,,,Woodside,,,,16,,40.7542765,-73.93333
1044,Multi-Family (5+ Unit),614 E 168th St,Bronx,NY,10456,1649000,0,,Bronx,7912,5819,1910,58,208,40.8299657,-73.9030177
1045,Townhouse,326 W 77th St,New York,NY,10024,8995000,6,8.5,Upper West Side,,,,518,,40.7833001,-73.9833932
1046,Multi-Family (2-4 Unit),133A Quincy St,Brooklyn,NY,11216,3990000,20,4.5,Brooklyn,,2500,1930,96,,40.686587,-73.95576
1047,Single Family Residential,15 Nicolosi Loop,Staten Island,NY,10312,2499000,5,8,S.E. Annadale,7650,12264,1988,147,327,40.5231676,-74.1747084
1048,Other,168 E 80th St,New York,NY,10075,10000000,,,Upper East Side,,,,251,,40.7751781,-73.9577261
1049,Multi-Family (5+ Unit),41-32 53rd St,Woodside,NY,11377,3995000,12,18,Woodside,7560,2708,1931,50,528,40.7447019,-73.911681
1050,Townhouse,0 Bloomingdale Rd,Staten Island,NY,10309,1599000,8,8,Rossville,7542,10920,2018,208,212,40.5494808,-74.221229
1051,Single Family Residential,325 W 76th St,New York,NY,10023,9950000,,,Upper West Side,,,,34,,40.783053,-73.9835559
1052,Single Family Residential,3 Point Cres,Malba,NY,11357,6648000,7,9.5,Whitestone,,17367,1995,183,,40.7911915,-73.830741
1053,Multi-Family (2-4 Unit),271 Union St,Brooklyn,NY,11231,5400000,,,Carroll Gardens,,,,131,,40.6829548,-73.9970155
1054,Condo/Co-op,42-11 108th St,Corona,NY,11368,528000,2,2,Pioneer Tower 2 Condo,,,1998,16,,40.7490397,-73.8575706
1055,Single Family Residential,58 W Springfield Jamaica,,OT,0,1360000,8,10.5,"Falmout,trelawny, Jamaica",7400,,2010,,184,40.702389,-73.741329
1056,Single Family Residential,"59 W Springfield, Jamaica",,OT,0000-,1360000,8,10.5,"Falmout,trelawny, Jamaica",7400,,2010,,184,40.7278329,-73.742176
1057,Single Family Residential,363 W 261st St,Bronx,NY,10471,3299000,,,North Riverdale,,,,34,,40.9098881,-73.9001119
1058,Single Family Residential,5020 Goodridge Ave,Bronx,NY,10471,3200000,8,5,Riverdale,7314,,1925,176,438,40.8972462,-73.903077
1059,Single Family Residential,6 Nicolosi Loop,Staten Island,NY,10312,2199000,4,5,S.E. Annadale,7296,9768,1990,27,301,40.522743,-74.175083
1060,Multi-Family (5+ Unit),110 W 76th St,New York,NY,10023,8475000,9,11,Upper West Side,,,,518,,40.7800869,-73.9776081
1061,Single Family Residential,38 Monroe Pl,Brooklyn,NY,11201,8495000,5,5.5,Brooklyn Heights,,,,268,,40.6958119,-73.992417
1062,Multi-Family (2-4 Unit),1807 Avenue P,Brooklyn,NY,11229,2950000,,,Brooklyn,7200,4000,2004,203,410,40.6110455,-73.955499
1063,Single Family Residential,120 Milden Ave,Staten Island,NY,10301,2100000,6,6,Todt Hill,7200,20000,2000,117,292,40.6079329,-74.097499
1064,Single Family Residential,16 Nicolosi Loop,Staten Island,NY,10312,1999000,5,5,S.E. Annadale,7200,10000,1989,162,278,40.522763,-74.175617
1065,Single Family Residential,320 W 101st St,New York,NY,10025,8500000,,,Upper West Side,,,,352,,40.7986092,-73.9717654
1066,Single Family Residential,186 Flagg Pl,Staten Island,NY,10304,3995000,,,Todt Hill,,,,16,,40.5866807,-74.1052076
1067,Condo/Co-op,114 Liberty St,New York,NY,10005,8750000,5,4.5,Financial District,,,,131,,40.7097055,-74.0122715
1068,Multi-Family (5+ Unit),720 55 St,Brooklyn,NY,11220,4800000,,,Brooklyn,7120,2003,,120,674,40.639142,-74.008452
1069,Single Family Residential,70 Mallow St,Staten Island,NY,10309,1800000,4,6,Huguenot,7083,12327,1999,78,254,40.546346,-74.2090592
1070,Multi-Family (5+ Unit),5002 3 Ave,Brooklyn,NY,11220,2380000,12,6,Brooklyn,7081,2517,1931,71,336,40.6478024,-74.0150265
1071,Multi-Family (2-4 Unit),615 41 St,Brooklyn,NY,11232,4599000,24,8,Brooklyn,7048,3000,1923,35,653,40.648698,-74.002218
1072,Condo/Co-op,Unit at 240 E 47th St,New York,NY,10017,12000000,7,8.5,Middle East Side,,,,190,,40.7529024,-73.9703994
1073,Single Family Residential,332 W 84th St,New York,NY,10024,12500000,5,6.5,Upper West Side,,,,147,,40.787882,-73.98015
1074,Single Family Residential,416 W 51st St,New York,NY,10019,10995000,,,Clinton Hill,,,,34,,40.7643312,-73.989534
1075,Single Family Residential,2387 56th Dr,Brooklyn,NY,11234,4500000,,,Mill Basin,,,,251,,40.6046016,-73.9089997
1076,Single Family Residential,244 E 48th St,New York,NY,10017,9995000,7,8.5,Middle East Side,,,,518,,40.753703,-73.970213
1077,Single Family Residential,50 Nicolosi Dr,Staten  Island,NY,10312,2990000,5,5,Staten  Island,6942,26362,1989,183,431,40.5221108,-74.1750524
1078,Single Family Residential,45 W 84th St,New York,NY,10024,10750000,,,Upper West Side,,,,16,,40.7849829,-73.9722245
1079,Condo/Co-op,Unit at 45 W 84th St,New York,NY,10024,10750000,5,7.5,Upper West Side,,,,16,,40.7849829,-73.9722245
1080,Single Family Residential,64 Mccully Ave,Staten Island,NY,10306,2430000,6,8,Richmond Town,6912,9396,2010,117,352,40.5760771,-74.1304648
1081,Single Family Residential,104 Prospect Park W,Brooklyn,NY,11215,8500000,5,5,Park Slope,,,,28,,40.6667196,-73.9754501
1082,Multi-Family (2-4 Unit),677 E 52 St,Brooklyn,NY,11203,1295000,8,6.5,Brooklyn,6864,3000,2014,50,189,40.643773,-73.9274614
1083,Single Family Residential,208 Brehaut Ave,Staten Island,NY,10307,2499999,4,5,Tottenville,6824,8250,2004,54,366,40.514092,-74.2409049
1084,Multi-Family (2-4 Unit),5303 Avenue N,Brooklyn,NY,11234,2750000,2,2,Brooklyn,6790,4000,1933,62,405,40.6192573,-73.9237688
1085,Multi-Family (2-4 Unit),5301 Avenue N,Brooklyn,NY,11234,2750000,4,2,Brooklyn,6790,4000,1933,62,405,40.6193502,-73.9237428
1086,Multi-Family (5+ Unit),64 W 85th St,New York,NY,10024,8800000,10,10,Upper West Side,,,,518,,40.7853265,-73.9720638
1087,Townhouse,132 Mayberry Promenade,Staten Island,NY,10312,1550000,4,4,S.E. Annadale,6720,4500,1975,22,231,40.5294677,-74.1576911
1088,Single Family Residential,111/113 Audley St,Kew Gardens,NY,11415,2888000,8,7,Kew Gardens,6700,12000,1990,93,431,40.70864,-73.833155
1089,Multi-Family (2-4 Unit),258 Wycoff St,Brooklyn,NY,11217,4249000,8,8,Brooklyn,6700,2500,,169,634,40.6834558,-73.9845867
1090,Multi-Family (5+ Unit),59 Morton St,New York,NY,10014,11250000,7,6,West Village,,,,408,,40.7310495,-74.0059643
1091,Multi-Family (2-4 Unit),314 Degraw St,Brooklyn,NY,11231,3350000,,,Carroll Gardens,,,,223,,40.6834331,-73.994917
1092,Single Family Residential,172-03 35 Th Ave,Flushing,NY,11358,2999000,6,3.5,Flushing,6650,5500,2005,71,451,40.764888,-73.793735
1093,Single Family Residential,13 E 128th St,New York,NY,10035,1790000,,,East Harlem,,,,265,,40.808185,-73.939903
1094,Multi-Family (2-4 Unit),329 W 88th St,New York,NY,10024,6475000,,,Upper West Side,,,,34,,40.790851,-73.9779639
1095,Condo/Co-op,Unit at 115 E 38th St,New York,NY,10016,9500000,5,6.5,Murray Hill Kips Bay,,,,215,,40.749298,-73.9783771
1096,Single Family Residential,37 W 88th St,New York,NY,10024,11500000,8,7,Upper West Side,,,,51,,40.787362,-73.969595
1097,Condo/Co-op,Unit at 240 Centre St,New York,NY,10013,12750000,4,4.5,Soho,,,,498,,40.7199727,-73.998016
1098,Townhouse,49-16 Annandale Ln,Little Neck,NY,11362,3288000,5,5.5,Little Neck,6600,9044,2009,363,498,40.768625,-73.7320189
1099,Multi-Family (2-4 Unit),23-11 99 St,E. Elmhurst,NY,11369,1300000,5,3,E. Elmhurst,6600,6600,1930,247,197,40.768203,-73.871158
1100,Condo/Co-op,Unit at 635 W 42nd St,New York,NY,10036,6500000,8,7,Middle West Side,,,,518,,40.7617008,-73.9996228
1101,Condo/Co-op,Unit at 11 E 70th St,New York,NY,10021,12950000,0,3,Upper East Side,,,,428,,40.7708767,-73.9668179
1102,Multi-Family (5+ Unit),100-18 40th Rd,Corona,NY,11368,2800000,7,10,Corona,,2500,2006,125,,40.748622,-73.864288
1103,Condo/Co-op,Unit at 481 -487 Greenwich St,,NY,10013,10990000,6,5,,,,,34,,40.7249015,-74.0090285
1104,Single Family Residential,216-20 27 Ave,Bayside,NY,11360,2499000,6,7,Bayside,6522,13733,1940,159,383,40.779413,-73.770717
1105,Multi-Family (2-4 Unit),558 W 161st St,New York,NY,10032,4600000,,,Washington Heights,,,,518,,40.83588,-73.94203
1106,Single Family Residential,69-77 184 St,Fresh Meadows,NY,11365,1350000,4,2,Fresh Meadows,6500,6500,1945,7,208,40.732223,-73.786323
1107,Condo/Co-op,Unit at 7 Hubert St,New York,NY,10013,13495000,4,5.5,Tribeca,,,,40,,40.721181,-74.0087798
1108,Multi-Family (5+ Unit),307 Troutman St,Brooklyn,NY,11237,2200000,8,8,Brooklyn,,2500,1960,282,,40.7043348,-73.9253503
1109,Single Family Residential,42 Joline Ave,Staten Island,NY,10307,1178000,5,6,Tottenville,6500,13350,1901,34,181,40.512207,-74.2372598
1110,Single Family Residential,,Brooklyn,NY,11234,2499000,3,2.5,,6500,8000,1962,161,384,40.6007956,-73.9065883
1111,Single Family Residential,252-42 Brattle Ave,Little Neck,NY,11363,3268888,6,6.5,Little Neck,6500,11025,2008,41,503,40.76605,-73.72945
1112,Single Family Residential,00000 S Outside of the USA St,Outside of USA,,0,1195000,8,7.5,N/A,6500,283140,2014,252,184,40.817377,-73.931749
1113,Townhouse,166 Clinton St,Brooklyn,NY,11201,5995000,6,4.5,Brooklyn Heights,,,,280,,40.6915978,-73.9939853
1114,Multi-Family (5+ Unit),2299 Southern Blvd,Bronx,NY,10460,2100000,6,10,Bronx,6500,2757,2014,198,323,40.8506016,-73.8827178
1115,Multi-Family (2-4 Unit),572 1st St,Brooklyn,NY,11215,4995000,,,Park Slope,,,,272,,40.6696201,-73.9736249
1116,Multi-Family (5+ Unit),9102 3rd Ave,Brooklyn,NY,11209,4195000,9,9,Brooklyn,6480,1800,1925,191,647,40.6199697,-74.0327743
1117,Single Family Residential,23 W 69th St,New York,NY,10023,9950000,8,8,Upper West Side,,,,170,,40.7748915,-73.9783083
1118,Single Family Residential,78 Johanna Ln,Staten Island,NY,10309,1990000,6,7,Princes Bay,6450,11780,2005,285,309,40.5208798,-74.2002084
1119,Multi-Family (2-4 Unit),753 Pine St,Brooklyn,NY,11208,849000,6,3.5,Brooklyn,,2983,1965,33,,40.6666827,-73.868519
1120,Multi-Family (5+ Unit),1770 63 St,Brooklyn,NY,11204,2280000,13,5,Brooklyn,6432,1980,1931,63,354,40.620445,-73.9896258
1121,Single Family Residential,119 W 92nd St,New York,NY,10025,5785000,,,Upper West Side,,,,357,,40.7908219,-73.9701583
1122,Single Family Residential,10 Oceanview Ln,Staten Island,NY,10301,1450000,5,6,Todt Hill,6386,13680,1987,197,227,40.6032307,-74.1017663
1123,Multi-Family (2-4 Unit),2815 Harway Ave,Brooklyn,NY,11214,2088000,12,7.75,Brooklyn,6384,5000,,240,327,40.588683,-73.9853674
1124,Multi-Family (5+ Unit),114 Great Kills Rd #120,Staten Island,NY,10308,1999999,13,8,Great Kills,6370,14760,1925,35,314,40.551006,-74.145177
1125,Multi-Family (2-4 Unit),76 Pierrepont St,Brooklyn,NY,11201,6500000,,,Brooklyn Heights,,,,131,,40.695354,-73.994429
1126,Multi-Family (2-4 Unit),7524 Amboy Rd,New York,NY,10307,1388888,4,2.5,New York,6350,4850,1931,84,219,40.5090613,-74.2466294
1127,Single Family Residential,59 Middagh St,Brooklyn,NY,11201,11500000,6,5.5,Brooklyn Heights,,,,48,,40.7003515,-73.9924694
1128,Townhouse,2050 South Service Rd,Staten Island,NY,10309,1274900,7,8,Pleasant Plains,6300,9780,1984,196,202,40.526373,-74.219496
1129,Multi-Family (2-4 Unit),144 Waverly Pl,New York,NY,10014,10450000,9,5.5,Greenwich Village,,,,518,,40.7330965,-74.0008394
1130,Single Family Residential,132 W 81st St,New York,NY,10024,10488000,5,8,Upper West Side,,,,141,,40.7836212,-73.9759437
1131,Single Family Residential,86 Gaylord Dr S,Brooklyn,NY,11234,3499000,7,5.5,Brooklyn,6260,15388,2011,20,559,40.6090572,-73.9063357
1132,Multi-Family (2-4 Unit),269 Grafton St,Brooklyn,NY,11212,1525000,11,9,Brooklyn,6240,3750,1910,161,244,40.6616694,-73.9171867
1133,Single Family Residential,22 Lake Rd,Great Neck,NY,11020,3185000,8,5.5,Lake Success,6226,40729,1963,135,512,40.761387,-73.712858
1134,Multi-Family (5+ Unit),104-54 42nd Ave,Corona,NY,11368,2150000,14,7,Corona,,2500,1932,51,,40.7488249,-73.858975
1135,Single Family Residential,29 Annfield Ct,Staten Island,NY,10304,3888888,5,7,Todt Hill,6207,16200,1999,55,627,40.600015,-74.106361
1136,Single Family Residential,15 Willow St,Brooklyn,NY,11201,9500000,,,Brooklyn Heights,,,,183,,40.7008118,-73.9940447
1137,Multi-Family (5+ Unit),63-04 Forest Ave,Ridgewood,NY,11385,1688000,18,6,Ridgewood,6156,2700,1920,27,274,40.710517,-73.905297
1138,Single Family Residential,10 W 90th St,New York,NY,10024,5300000,,,Upper West Side,,,,16,,40.7879994,-73.9683446
1139,Multi-Family (5+ Unit),310 W 89th St,New York,NY,10024,6575000,11,10,Upper West Side,,,,401,,40.7909427,-73.9772522
1140,Multi-Family (2-4 Unit),552 11 St,Brooklyn,NY,11215,3899000,16,8.75,Brooklyn,6096,2500,1920,161,640,40.6646735,-73.9809139
1141,Multi-Family (2-4 Unit),60 S 4 St,Brooklyn,NY,11215,4999000,7,4.5,Brooklyn,6096,2070,1910,301,820,40.6681669,-73.9800645
1142,Multi-Family (5+ Unit),41-49 48 St,Sunnyside,NY,11104,2590000,18,10,Sunnyside,,2702,1928,95,,40.74485,-73.916118
1143,Condo/Co-op,Unit at 69 Wooster St,New York,NY,10012,12000000,3,3,Soho,,,,131,,40.7234778,-74.0018591
1144,Multi-Family (5+ Unit),12-28 30th Rd,Astoria,NY,11102,2849000,16,8,Astoria/Long Island City,6000,3838,1930,215,475,40.769995,-73.931199
1145,Single Family Residential,222 N 8th St,Brooklyn,NY,11211,2795000,,,Williamsburg,,,,357,,40.716859,-73.955146
1146,Single Family Residential,170 Eldridge St,New York,NY,10002,8750000,,,Lower East Side,,,,518,,40.7200734,-73.9906932
1147,Single Family Residential,60 Exeter St,Forest Hills,NY,11375,3200000,7,6,Forest Hills Gardens,6000,7600,1930,141,533,40.717624,-73.847398
1148,Single Family Residential,242-14 83rd Ave,Bellerose,NY,11426,1990000,5,5,Bellerose,6000,6000,2011,15,332,40.7355159,-73.724579
1149,Single Family Residential,8423 10 Ave,Brooklyn,NY,11209,3250000,0,,Brooklyn,6000,5000,1991,78,542,40.6212119,-74.0329499
1150,Single Family Residential,956 N 3rd St,New Hyde Park,NY,11040,749000,5,3,New Hyde Park,6000,6000,1940,71,125,40.737659,-73.6958579
1151,Multi-Family (5+ Unit),7407 5 Ave,Brooklyn,NY,11209,2999000,,,Brooklyn,6000,1855,1936,53,500,40.6299355,-74.0222209
1152,Single Family Residential,32-24 154th St,Flushing,NY,11354,1200000,4,2,Flushing,6000,6000,1910,86,200,40.7692404,-73.8106373
1153,Multi-Family (5+ Unit),17-03 Palmetto St,Ridgewood,NY,11385,1599000,18,6,Ridgewood,,2775,1930,44,,40.701973,-73.908914
1154,Single Family Residential,85 Poughkeepsie Ct,Staten Island,NY,10312,1499888,5,8,S.E. Annadale,5980,12498,2011,55,251,40.5250875,-74.1698558
1155,Single Family Residential,118 W 87th St,New York,NY,10024,9950000,,,Upper West Side,,,,16,,40.7873236,-73.9725459
1156,Multi-Family (2-4 Unit),168-70 93 Ave,Jamaica,NY,11433,1349999,14,8,Jamaica,5924,2950,2007,387,228,40.705218,-73.789047
1157,Townhouse,332 Edgegrove Ave Unit A,Staten Island,NY,10312,1499999,5,5,Annandale,5906,8000,1985,159,254,40.5406594,-74.1829412
1158,Condo/Co-op,Unit at 25 Murray St,New York,NY,10007,11500000,6,7.5,Tribeca,,,,253,,40.7139386,-74.008297
1159,Single Family Residential,87-44 Santiago St,Holliswood,NY,11423,2699000,5,7.5,Holliswood,5900,13122,2007,91,457,40.7175749,-73.77341
1160,Single Family Residential,215 E 61st St,New York,NY,10021,13990000,,,Upper East Side,,,,113,,40.7626108,-73.964786
1161,Multi-Family (2-4 Unit),56 W 76th St,New York,NY,10023,8750000,,,Upper West Side,,,,34,,40.779589,-73.976539
1162,Condo/Co-op,Unit at 21 W 121st St,New York,NY,10027,4495000,10,5.5,Harlem,,,,131,,40.8051043,-73.9466707
1163,Single Family Residential,325 Pacific St,Brooklyn,NY,11201,7250000,,,Boerum Hill,,,,518,,40.687405,-73.987617
1164,Single Family Residential,62 Edgecombe Ave,New York,NY,10030,3500000,,,Central Harlem,,,,34,,40.8186947,-73.9464755
1165,Single Family Residential,16 Altoona Ave,Staten Island,NY,10306,1750000,4,6,Richmond Town,5800,19000,1981,4,302,40.5733301,-74.1317264
1166,Townhouse,339 Brehaut Ave,Staten Island,NY,10307,1275000,5,6,Tottenville,5800,13882,2005,58,220,40.5111913,-74.2377641
1167,Single Family Residential,134 W 121st St,New York,NY,10027,2990000,,,Central Harlem,,,,183,,40.8056784,-73.9489438
1168,Multi-Family (2-4 Unit),845 Carroll St,Brooklyn,NY,11215,5175000,,,Park Slope,,,,339,,40.671884,-73.972303
1169,Single Family Residential,4 St James Pl,Staten Island,NY,10304,2699999,4,5,Todt Hill,5794,11718,2008,26,466,40.5965761,-74.1060564
1170,Multi-Family (5+ Unit),57-29 Catalpa Ave,Ridgewood,NY,11385,1799000,12,6,Ridgewood,,2591,1930,7,,40.701419,-73.903453
